a, E_acc, std_acc, E_p, std_p
0.00,0.9655,0.0000,75.6954,0.0648
0.02,0.9233,0.0025,207.3435,10.3805
0.04,0.8880,0.0023,318.3288,14.1077
0.06,0.8583,0.0036,395.9994,5.4061
0.08,0.8363,0.0072,440.6283,17.5788
0.10,0.8087,0.0093,495.0174,28.6838
0.12,0.7752,0.0073,548.9269,17.6477
0.14,0.7499,0.0070,584.7456,23.5606
0.16,0.7174,0.0099,647.7926,23.9528
0.18,0.6935,0.0084,661.6643,36.3757
0.20,0.6589,0.0078,727.7669,27.2002
0.22,0.6444,0.0079,703.9523,33.3639
0.24,0.6195,0.0058,745.6098,36.3707
0.26,0.5854,0.0111,773.8759,44.2698
0.28,0.5657,0.0173,793.4856,46.3783
0.30,0.5471,0.0086,797.3196,39.6334
