iteration,size,potential,TestAcc
0,600,9.237999,0.6650
1,590,6.148363,0.6967
2,580,3.450691,0.7100
3,570,2.044629,0.6967
4,560,1.243287,0.6983
5,550,1.225530,0.6900
6,540,1.277973,0.7000
7,530,1.259542,0.7267
8,520,1.277038,0.7450
9,510,1.083017,0.7533
10,500,1.090311,0.7783
11,490,1.086504,0.7850
12,480,1.040394,0.7950
13,470,1.156722,0.7917
14,460,1.325510,0.8000
15,450,1.473148,0.8367
16,440,1.103926,0.8400
17,430,1.028777,0.8750
18,420,0.958253,0.8950
19,410,0.929244,0.9183
20,400,1.401103,0.9367
21,390,1.665901,0.9550
22,380,1.339396,0.9567
23,370,0.734118,0.9533
24,360,0.617565,0.9500
25,350,0.576066,0.9550
26,340,0.543269,0.9400
27,330,0.549989,0.9267
28,320,0.420196,0.9300
29,310,0.402527,0.9167
30,300,0.381065,0.8967
31,290,0.394683,0.8800
32,280,0.377646,0.8600
33,270,0.371372,0.8450
34,260,0.399716,0.8467
35,250,0.287042,0.8167
36,240,0.289773,0.8067
37,230,0.281991,0.7900
38,220,0.276701,0.6983
39,210,0.303015,0.6517
40,200,0.468235,0.5517
41,190,0.474310,0.5167
42,180,2.376064,0.5000
43,170,1.677354,0.5017
44,160,1.539139,0.5017
45,150,3.065897,0.5000
46,140,2.662948,0.5000
47,130,1.608118,0.5000
48,120,0.104975,0.5033
49,110,0.246922,0.5000
