a, E_acc, std_acc, E_p, std_p
0,0.8933,0.0279,2.9336,0.1827
20,0.8350,0.0279,17.5419,2.3051
40,0.7600,0.0410,27.4130,4.6666
60,0.6917,0.0806,30.5003,4.3981
80,0.6517,0.0458,36.2848,2.1649
100,0.6283,0.0588,39.2919,2.6272
120,0.5600,0.0351,44.4765,1.3300
140,0.5300,0.0419,48.3468,2.4941
160,0.5317,0.0753,51.5002,1.3465
180,0.4917,0.0377,52.3565,1.2263
200,0.4400,0.0341,53.8788,0.9192
220,0.4283,0.0704,56.1296,1.9074
240,0.4250,0.0283,57.1231,1.1620
260,0.4117,0.0548,57.8333,0.9889
280,0.4200,0.0466,57.9557,1.0685
300,0.4150,0.0622,57.9136,1.3068
320,0.4017,0.0512,57.3254,0.5830
340,0.4117,0.0267,57.1899,0.7002
360,0.4167,0.0333,55.7137,0.7248
380,0.4500,0.0386,55.0077,0.8321
400,0.5000,0.0395,52.9359,1.7587
420,0.4733,0.0469,52.4218,2.5253
440,0.5350,0.0370,49.4099,1.9794
460,0.5550,0.0439,47.2376,1.6176
480,0.5983,0.0477,43.3722,3.7245
500,0.6550,0.0462,38.5133,1.9074
520,0.6483,0.0406,34.1573,0.9818
540,0.7183,0.0190,28.9104,3.0177
560,0.7467,0.0419,20.3745,2.8876
580,0.8267,0.0260,11.1462,1.0389
600,0.8900,0.0160,3.3238,0.5972
