iteration,size,potential,TestAcc
0,1000,55.382492,0.5960
1,990,53.291527,0.6210
2,980,51.438797,0.6310
3,970,50.324135,0.6820
4,960,45.820080,0.7050
5,950,43.094360,0.7240
6,940,40.326618,0.7220
7,930,37.356880,0.7300
8,920,35.401024,0.7600
9,910,33.617828,0.7690
10,900,32.934361,0.7680
11,890,27.318735,0.8220
12,880,24.587523,0.8320
13,870,21.969210,0.8290
14,860,19.808702,0.8370
15,850,17.905500,0.8270
16,840,16.231426,0.8340
17,830,13.502257,0.8540
18,820,11.674467,0.8500
19,810,10.072940,0.8610
20,800,8.738270,0.8590
21,790,7.689698,0.8420
22,780,6.898255,0.8370
23,770,6.145282,0.8180
24,760,5.053653,0.8240
25,750,4.470762,0.8130
26,740,4.026972,0.8130
27,730,3.683723,0.7980
28,720,3.617909,0.7810
29,710,3.356383,0.7660
30,700,2.538167,0.7730
31,690,2.302656,0.7660
32,680,1.991532,0.7590
33,670,1.748359,0.7480
34,660,1.639527,0.7490
35,650,1.673782,0.7390
36,640,1.528457,0.7340
37,630,1.446588,0.7220
38,620,1.284456,0.7140
39,610,1.136337,0.7000
40,600,1.048522,0.6880
41,590,1.024099,0.6600
42,580,0.935109,0.6380
43,570,0.770181,0.6370
44,560,0.786330,0.6310
45,550,0.830218,0.6220
46,540,0.875016,0.6080
47,530,0.871544,0.6010
48,520,0.889136,0.5790
49,510,0.763534,0.5790
50,500,0.690114,0.5730
51,490,0.651696,0.5700
52,480,0.613825,0.5600
53,470,0.597774,0.5580
54,460,0.586144,0.5580
55,450,0.587052,0.5580
56,440,0.458114,0.5570
57,430,0.444928,0.5480
58,420,0.428212,0.5380
59,410,0.411754,0.5380
60,400,0.414150,0.5290
61,390,0.458105,0.5100
62,380,0.329520,0.5140
63,370,0.323257,0.5120
64,360,0.315845,0.4980
65,350,0.307761,0.4880
66,340,0.317930,0.4850
67,330,0.349468,0.4810
68,320,0.271865,0.4810
69,310,0.269508,0.4800
70,300,0.253005,0.4690
71,290,0.249041,0.4680
72,280,0.241744,0.4630
73,270,0.251485,0.4610
74,260,0.321400,0.4460
75,250,0.207406,0.4610
76,240,0.203439,0.4610
77,230,0.187111,0.4680
78,220,0.178391,0.4550
79,210,0.187001,0.4420
80,200,0.212644,0.4370
81,190,0.157646,0.4460
82,180,0.149830,0.4400
83,170,0.150952,0.4340
84,160,0.149705,0.4290
85,150,0.189009,0.4100
86,140,0.222839,0.4080
87,130,0.297562,0.3810
88,120,0.126249,0.3980
89,110,0.113216,0.3880
