a, b,E_acc, std_acc, E_p, std_p
0,0,0.8700,0.0267,3.0672,0.2588
0,50,0.7533,0.0352,23.8880,4.0730
0,100,0.6800,0.0443,37.6599,1.0468
0,150,0.5883,0.0532,45.3502,1.2960
0,200,0.4917,0.0621,49.2462,1.3580
0,250,0.4450,0.0356,52.9984,1.1949
0,300,0.4583,0.0118,54.1508,1.9186
0,350,0.4517,0.0356,53.9433,1.7155
0,400,0.5100,0.0260,51.5469,1.4556
0,450,0.5783,0.0462,47.0526,2.7825
0,500,0.6217,0.0326,36.0896,1.8013
0,550,0.7867,0.0267,19.2064,2.4762
0,600,0.9067,0.0291,2.0598,0.1431
50,0,0.7317,0.0480,26.8788,4.1122
50,50,0.6267,0.0308,37.6347,2.2189
50,100,0.5900,0.0718,45.5826,1.4755
50,150,0.5133,0.0225,50.2142,1.9460
50,200,0.4850,0.0487,53.0538,0.8689
50,250,0.4417,0.0475,54.6764,1.4316
50,300,0.4600,0.0435,54.7726,1.3554
50,350,0.4417,0.0195,54.1184,1.9014
50,400,0.5067,0.0224,50.9257,3.1315
50,450,0.5500,0.0339,47.7226,1.2067
50,500,0.6500,0.0503,37.4456,1.8674
50,550,0.7517,0.0418,20.9566,2.0731
100,0,0.6300,0.0542,41.3564,4.0013
100,50,0.5450,0.0366,46.8532,1.9101
100,100,0.5050,0.0801,51.5849,0.8344
100,150,0.4367,0.0411,55.5527,0.7793
100,200,0.3617,0.0671,56.8908,1.5856
100,250,0.4117,0.0292,57.5687,0.7177
100,300,0.4167,0.0565,56.4379,0.6960
100,350,0.4467,0.0315,55.4845,1.8319
100,400,0.5333,0.0377,50.8918,1.6293
100,450,0.5800,0.0796,44.0760,4.8949
100,500,0.6700,0.0439,37.2438,2.0293
150,0,0.5200,0.0286,49.4443,1.3740
150,50,0.4400,0.0505,52.4729,2.6765
150,100,0.4267,0.0435,56.4264,2.6347
150,150,0.3633,0.0519,58.4801,0.7346
150,200,0.3767,0.0622,59.0058,0.4419
150,250,0.4067,0.0450,57.6031,1.4284
150,300,0.3983,0.0260,56.8161,0.7654
150,350,0.4350,0.0454,54.7409,1.0354
150,400,0.4867,0.0342,52.5255,2.0155
150,450,0.5467,0.0336,48.0861,1.5501
200,0,0.4700,0.0261,53.3966,0.7593
200,50,0.3833,0.0250,57.2136,0.7797
200,100,0.3717,0.0443,58.3250,0.2555
200,150,0.3617,0.0591,59.2865,0.7718
200,200,0.3767,0.0308,59.3053,0.9332
200,250,0.4167,0.0408,57.7659,0.6922
200,300,0.4083,0.0270,55.9628,1.4120
200,350,0.4367,0.0310,54.6022,1.2409
200,400,0.5200,0.0431,51.4186,3.0130
250,0,0.4067,0.0253,56.7319,1.0888
250,50,0.4033,0.0488,57.5696,1.3202
250,100,0.3867,0.0209,58.6995,0.8684
250,150,0.4050,0.0462,58.5711,0.9198
250,200,0.3750,0.0717,57.3523,1.5193
250,250,0.3867,0.0267,57.3827,0.6001
250,300,0.4200,0.0326,56.0742,1.5859
250,350,0.4850,0.0446,52.5635,1.7370
300,0,0.3883,0.0402,57.7901,0.7192
300,50,0.4217,0.0474,58.0291,1.1539
300,100,0.4300,0.0536,57.3869,1.8445
300,150,0.4017,0.0414,57.3700,0.4431
300,200,0.4333,0.0664,54.4936,0.6378
300,250,0.4300,0.0539,54.6597,0.8977
300,300,0.4917,0.0373,53.6832,1.0444
350,0,0.4350,0.0406,56.4885,0.8701
350,50,0.4050,0.0326,55.9870,1.8803
350,100,0.4467,0.0642,55.0535,1.2111
350,150,0.4133,0.0267,55.1553,0.8646
350,200,0.4550,0.0481,54.4893,1.1589
350,250,0.4900,0.0487,51.2540,1.8665
400,0,0.4350,0.0422,54.4403,0.7348
400,50,0.4833,0.0400,52.0770,1.4921
400,100,0.4783,0.0380,50.2597,1.7287
400,150,0.5133,0.0419,50.1556,1.8938
400,200,0.5367,0.0398,49.4370,1.9287
450,0,0.5600,0.0611,49.7342,2.6915
450,50,0.6017,0.0953,45.7587,2.1303
450,100,0.5467,0.0380,45.9745,0.9645
450,150,0.5567,0.0630,45.0699,3.8642
500,0,0.6100,0.0330,41.5475,1.1986
500,50,0.6483,0.0605,38.4858,1.3173
500,100,0.6167,0.0317,36.9773,1.2781
550,0,0.7250,0.0243,23.7396,2.8109
550,50,0.7067,0.0563,25.6034,4.1167
600,0,0.8917,0.0156,3.1435,0.4196
