iteration,size,potential,TestAcc
0,1000,51.879765,0.6420
1,990,48.402020,0.6790
2,980,46.537292,0.6860
3,970,45.728973,0.7160
4,960,42.133591,0.7500
5,950,39.245934,0.7660
6,940,36.487003,0.7530
7,930,33.918167,0.7550
8,920,31.774513,0.7530
9,910,29.981274,0.7590
10,900,28.262447,0.7600
11,890,23.627792,0.8120
12,880,21.169193,0.8230
13,870,19.148588,0.8320
14,860,17.442820,0.8270
15,850,15.842243,0.8320
16,840,14.826833,0.8170
17,830,11.590829,0.8520
18,820,9.934493,0.8520
19,810,8.601464,0.8540
20,800,7.478343,0.8420
21,790,6.607604,0.8420
22,780,5.995265,0.8250
23,770,5.947064,0.8210
24,760,4.586545,0.8160
25,750,4.032787,0.8050
26,740,3.704485,0.7870
27,730,3.333591,0.7850
28,720,2.992904,0.7710
29,710,2.676888,0.7580
30,700,2.078380,0.7610
31,690,1.855770,0.7510
32,680,1.639994,0.7390
33,670,1.538889,0.7270
34,660,1.402418,0.7220
35,650,1.184951,0.7190
36,640,1.098155,0.7030
37,630,1.066960,0.6910
38,620,0.944520,0.6840
39,610,0.762636,0.6690
40,600,0.725996,0.6530
41,590,0.808453,0.6420
42,580,0.890339,0.6360
43,570,0.784260,0.6210
44,560,0.801573,0.6230
45,550,0.798537,0.6210
46,540,0.770236,0.6170
47,530,0.744264,0.6150
48,520,0.792920,0.6070
49,510,0.649961,0.5990
50,500,0.610336,0.5890
51,490,0.578744,0.5840
52,480,0.559694,0.5830
53,470,0.543111,0.5790
54,460,0.543034,0.5770
55,450,0.624205,0.5720
56,440,0.451972,0.5700
57,430,0.422938,0.5680
58,420,0.396353,0.5600
59,410,0.384047,0.5470
60,400,0.376042,0.5390
61,390,0.419720,0.5460
62,380,0.325936,0.5390
63,370,0.313770,0.5230
64,360,0.304302,0.5170
65,350,0.295764,0.5200
66,340,0.303296,0.5100
67,330,0.323796,0.5150
68,320,0.270331,0.5090
69,310,0.262375,0.5060
70,300,0.253980,0.5030
71,290,0.243857,0.4850
72,280,0.239136,0.4770
73,270,0.252735,0.4740
74,260,0.308576,0.4730
75,250,0.196127,0.4770
76,240,0.185216,0.4650
77,230,0.179016,0.4610
78,220,0.180167,0.4490
79,210,0.187190,0.4630
80,200,0.221891,0.4470
81,190,0.148686,0.4520
82,180,0.142879,0.4520
83,170,0.133725,0.4470
84,160,0.139129,0.4490
85,150,0.153444,0.4380
86,140,0.153813,0.4280
87,130,0.285027,0.4350
88,120,0.120808,0.4440
89,110,0.117461,0.4240
